species	sample	sex
Sebastes_carnatus	SRR3091918	F
Sebastes_carnatus	SRR3091919	M
Sebastes_carnatus	SRR3091920	M
Sebastes_carnatus	SRR3091921	M
Sebastes_carnatus	SRR3091922	F
Sebastes_carnatus	SRR3091923	F
Sebastes_carnatus	SRR3091924	F
Sebastes_carnatus	SRR3091925	F
Sebastes_carnatus	SRR3091926	M
Sebastes_carnatus	SRR3091928	M
Sebastes_carnatus	SRR3091929	M
Sebastes_carnatus	SRR3091930	F
Sebastes_carnatus	SRR3091931	F
Sebastes_carnatus	SRR3091932	M
Sebastes_carnatus	SRR3091933	M
Sebastes_carnatus	SRR3091934	F
Sebastes_carnatus	SRR3091935	M
Sebastes_carnatus	SRR3091936	M
Sebastes_carnatus	SRR3091937	F
Sebastes_carnatus	SRR3091939	F
Sebastes_chrysomelas	SRR3091905	M
Sebastes_chrysomelas	SRR3091916	M
Sebastes_chrysomelas	SRR3091927	M
Sebastes_chrysomelas	SRR3091938	F
Sebastes_chrysomelas	SRR3091940	M
Sebastes_chrysomelas	SRR3091941	F
Sebastes_chrysomelas	SRR3091942	M
Sebastes_chrysomelas	SRR3091943	M
Sebastes_chrysomelas	SRR3091944	M
Sebastes_chrysomelas	SRR3091906	M
Sebastes_chrysomelas	SRR3091907	F
Sebastes_chrysomelas	SRR3091908	F
Sebastes_chrysomelas	SRR3091909	F
Sebastes_chrysomelas	SRR3091910	M
Sebastes_chrysomelas	SRR3091911	F
Sebastes_chrysomelas	SRR3091912	M
Sebastes_chrysomelas	SRR3091913	F
Sebastes_chrysomelas	SRR3091914	M
Sebastes_chrysomelas	SRR3091915	M
Sebastes_chrysomelas	SRR3091917	M
Sebastes_diaconus	SRR9968817	F
Sebastes_diaconus	SRR9968816	F
Sebastes_diaconus	SRR9968815	F
Sebastes_diaconus	SRR9968824	M
Sebastes_diaconus	SRR9968823	F
Sebastes_diaconus	SRR9968799	M
Sebastes_diaconus	SRR9968800	M
Sebastes_diaconus	SRR9968797	M
Sebastes_diaconus	SRR9968798	F
Sebastes_diaconus	SRR9968803	F
Sebastes_diaconus	SRR9968804	F
Sebastes_diaconus	SRR9968801	F
Sebastes_diaconus	SRR9968802	M
Sebastes_diaconus	SRR9968795	F
Sebastes_diaconus	SRR9968796	F
Sebastes_diaconus	SRR9968778	F
Sebastes_diaconus	SRR9968849	F
Sebastes_diaconus	SRR9968777	F
Sebastes_diaconus	SRR9968780	M
Sebastes_diaconus	SRR9968779	F
Sebastes_diaconus	SRR9968782	F
Sebastes_diaconus	SRR9968781	F
Sebastes_diaconus	SRR9968784	F
Sebastes_diaconus	SRR9968783	F
Sebastes_diaconus	SRR9968776	F
Sebastes_diaconus	SRR9968828	F
Sebastes_diaconus	SRR9968775	F
Sebastes_diaconus	SRR9968827	F
Sebastes_diaconus	SRR9968826	F
Sebastes_diaconus	SRR9968825	F
Sebastes_diaconus	SRR9968832	F
Sebastes_diaconus	SRR9968831	F
Sebastes_diaconus	SRR9968830	F
Sebastes_diaconus	SRR9968829	F
Sebastes_diaconus	SRR9968834	F
Sebastes_diaconus	SRR9968806	F
Sebastes_diaconus	SRR9968805	M
Sebastes_diaconus	SRR9968808	F
Sebastes_diaconus	SRR9968807	M
Sebastes_diaconus	SRR9968810	F
Sebastes_diaconus	SRR9968812	M
Sebastes_diaconus	SRR9968811	M
Sebastes_diaconus	SRR9968814	M
Sebastes_diaconus	SRR9968845	M
Sebastes_diaconus	SRR9968813	M
Sebastes_diaconus	SRR9968789	F
Sebastes_diaconus	SRR9968790	M
Sebastes_diaconus	SRR9968791	M
Sebastes_diaconus	SRR9968792	F
Sebastes_diaconus	SRR9968785	F
Sebastes_diaconus	SRR9968786	F
Sebastes_diaconus	SRR9968787	F
Sebastes_diaconus	SRR9968788	F
Sebastes_diaconus	SRR9968793	F
Sebastes_diaconus	SRR9968794	F
Sebastes_diaconus	SRR9968770	F
Sebastes_diaconus	SRR9968769	F
Sebastes_diaconus	SRR9968768	F
Sebastes_diaconus	SRR9968767	F
Sebastes_diaconus	SRR9968774	F
Sebastes_diaconus	SRR9968773	F
Sebastes_diaconus	SRR9968772	F
Sebastes_diaconus	SRR9968846	F
Sebastes_diaconus	SRR9968771	M
Sebastes_diaconus	SRR9968766	F
Sebastes_diaconus	SRR9968765	M
Sebastes_diaconus	SRR9968868	F
Sebastes_diaconus	SRR9968869	F
Sebastes_diaconus	SRR9968866	F
Sebastes_diaconus	SRR9968867	F
Sebastes_diaconus	SRR9968864	M
Sebastes_diaconus	SRR9968865	F
Sebastes_diaconus	SRR9968862	M
Sebastes_diaconus	SRR9968863	M
Sebastes_diaconus	SRR9968860	F
Sebastes_diaconus	SRR9968861	F
Sebastes_diaconus	SRR9968857	F
Sebastes_diaconus	SRR9968856	M
Sebastes_diaconus	SRR9968859	F
Sebastes_diaconus	SRR9968858	F
Sebastes_diaconus	SRR9968853	F
Sebastes_diaconus	SRR9968847	F
Sebastes_diaconus	SRR9968852	M
Sebastes_diaconus	SRR9968855	M
Sebastes_diaconus	SRR9968854	M
Sebastes_diaconus	SRR9968851	F
Sebastes_diaconus	SRR9968850	F
